nombre_del_alumno,dni_estudiante,periodo_escolar,carrera,jornada,grado,seccion,inicio_de_anio,fin_de_anio,termino_anio,Biologia_promedio,educacion_fisica_y_deportes_promedio,espanol_promedio,fundamentos_de_psicologia_promedio,fisica_promedio,historia_de_honduras_promedio,Informatica_promedio,ingles_promedio,matematicas_promedio,quimica_promedio,sociologia_promedio,promedio_general ,valoraciones,observaciones,,
María Fernanda López Rodríguez,0101-2007-00123,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,74,52,52,78,83,74,50,68,81,81,53,83.0,avanzado,aprobado,,
Juan Carlos Hernández López,0101-2007-00298,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,60,83,71,68,55,72,55,85,51,66,68,73.0,basico,aprobado,,
Ana Sofía Martínez Castro,0101-2007-00451,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,51,80,65,71,54,82,54,56,74,61,61,72.0,basico,aprobado,,
Camila Alejandra Reyes Herrera,0101-2007-00987,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,51,53,75,79,77,66,71,79,59,75,66,75.0,basico,aprobado,,
José Alejandro Cruz Martínez,0101-2007-00612,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,6/20/2022,no,65,71,85,76,82,67,50,64,69,54,84,83.0,avanzado,aprobado,,
Luis Fernando Ramírez Aguilar,0101-2007-00580,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,70,76,59,52,69,71,79,85,61,68,55,73.0,basico,aprobado,,
Valeria Isabel Gómez Rivera,0101-2008-00234,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,59,78,64,84,59,59,53,68,57,70,54,73.0,basico,aprobado,,
Carlos Andrés Pineda Torres,0101-2007-00347,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,54,59,84,83,81,84,75,72,63,61,69,92.0,avanzado,aprobado,,
Daniela Paola Aguilar Torres,0101-2007-00356,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,4/10/2022,no,52,58,71,57,64,79,73,84,72,82,66,73.0,basico,aprobado,,
Gabriela Nicole Mendoza Chávez,0101-2007-00890,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,71,71,70,61,68,59,68,65,84,56,85,81.0,avanzado,aprobado,,
David Emmanuel López Herrera,0101-2005-00580,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,8/16/2022,no,54,76,53,68,52,80,55,73,56,77,73,72.0,basico,aprobado,,
Ricardo Daniel Gómez Rivera,0101-2007-00802,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,75,75,83,74,81,66,52,79,75,60,64,72.0,basico,aprobado,,
Andrea Carolina Ramírez López,0101-2008-00772,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,57,70,51,52,57,72,83,65,82,55,55,63.0,necesita mejorar,reprobado,,
Isabella Victoria Cruz Hernández,0101-2007-00543,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,8/20/2022,no,68,75,66,53,52,57,76,52,72,59,65,91.0,avanzado,aprobado,,
Jorge Antonio Castillo Chávez,0101-2007-00271,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,52,77,67,61,80,57,53,68,56,57,58,92.0,avanzado,aprobado,,
Diego Alejandro Pérez Cárcamo,0101-2006-00609,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,8/1/2022,no,50,55,81,58,75,66,58,74,62,84,51,77.0,basico,aprobado,,
Sofia Gabriela Castillo Pineda,0101-2007-00684,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,69,67,79,58,79,55,84,84,60,82,78,80.0,avanzado,aprobado,,
Lucía Alejandra Mejía Figueroa,0101-2007-00931,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,70,71,68,76,76,55,51,85,80,82,78,90.0,avanzado,aprobado,,
Samuel Eduardo Rodríguez Figueroa,0101-2007-00715,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,6/1/2022,no,77,82,65,50,74,55,62,70,84,85,62,81.0,avanzado,aprobado,,
Karla Estefanía Ortiz Flores,0101-2007-00476,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,81,52,67,54,62,66,76,83,50,57,72,75.0,basico,aprobado,,
Mariana José Pérez Cárcamo,0101-2006-00165,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,11/30/2022,si,81,82,84,51,68,76,55,54,70,60,74,88.0,avanzado,aprobado,,
Francisco Javier Mendoza Flores,0101-2007-00420,2022,Informatica ,Matutina,Decimo,1-A,2/1/2022,7/29/2022,no,59,51,51,85,50,83,56,75,68,83,50,87.0,avanzado,aprobado,,
Carlos Daniel Ramírez López,0101-2007-04123,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,11/30/2023,si,80,58,82,69,64,74,51,73,64,69,58,88.0,avanzado,aprobado,,
Isabella Sofía Martínez Aguilar,0102-2008-03214,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,11/30/2023,si,63,80,79,69,81,81,62,60,75,77,84,83.0,avanzado,aprobado,,
Luis Fernando Torres Reyes,0103-2007-05897,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,11/30/2023,si,61,65,82,64,58,84,70,77,56,50,71,82.0,avanzado,aprobado,,
Paola Isabel Cáceres Hernández,0104-2008-04678,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,11/30/2023,si,54,66,62,75,81,75,50,60,66,72,78,76.0,basico,aprobado,,
José Alejandro Rivera Suazo,0105-2007-02134,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,11/30/2023,si,74,81,53,81,83,85,66,70,66,77,59,89.0,avanzado,aprobado,,
Valeria Fernanda Gómez Castillo,0106-2008-03987,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,11/30/2023,si,55,85,65,80,85,75,83,84,53,63,77,84.0,avanzado,aprobado,,
Ricardo Antonio Pineda Molina,0101-2007-04456,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,11/30/2023,si,69,68,57,59,78,70,80,62,56,70,78,72.0,basico,aprobado,,
Mariana Beatriz Domínguez Torres,0102-2008-05321,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,11/30/2023,si,54,73,77,75,68,59,61,73,81,56,63,89.0,avanzado,aprobado,,
Kevin Andrés Hernández Cruz,0103-2007-02987,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,11/30/2023,si,81,62,85,66,59,78,84,69,80,73,58,78.0,basico,aprobado,,
Gabriela Sofía Ochoa Ramírez,0104-2008-03876,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,11/30/2023,si,55,71,70,79,75,62,50,75,81,62,55,76.0,basico,aprobado,,
Oscar Daniel Reyes Aguilar,0105-2007-04789,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,6/1/2023,no,69,53,50,67,56,74,82,85,66,53,83,92.0,avanzado,aprobado,,
Camila Patricia López Mejía,0106-2008-03542,2023,Informatica ,Matutina,Decimo,1-B,1/23/2023,5/18/2023,no,74,77,72,70,61,81,73,83,72,84,59,80.0,avanzado,aprobado,,
Carlos Eduardo Ramírez Cruz,0101-2008-04123,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,71,79,56,76,81,50,68,55,78,73,79,85.0,avanzado,aprobado,,
Isabella Sofía Martínez López,0102-2009-03214,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,77,64,52,60,76,77,52,77,65,81,76,80.0,avanzado,aprobado,,
Luis Fernando Aguilar Reyes,0103-2008-05897,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,62,55,52,52,57,76,64,69,77,53,75,73.0,basico,aprobado,,
Paola Isabel Ochoa Hernández,0104-2009-04678,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,85,84,64,67,69,78,84,69,53,58,80,68.0,necesita mejorar,reprobado,,
José Alejandro Domínguez Rivera,0105-2008-02134,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,77,76,69,52,74,78,54,78,77,74,70,81.0,avanzado,aprobado,,
Valeria Fernanda Pineda Torres,0106-2009-03987,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,50,84,51,73,72,56,80,79,59,71,50,88.0,avanzado,aprobado,,
Ricardo Antonio Gómez Molina,0101-2008-04456,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,60,70,63,79,77,82,51,72,76,85,57,92.0,avanzado,aprobado,,
Mariana Beatriz Castillo Aguilar,0102-2009-05321,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,67,72,71,52,79,63,62,55,83,63,65,82.0,avanzado,aprobado,,
Kevin Andrés Suazo Ramírez,0103-2008-02987,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,50,78,58,82,80,51,50,61,50,50,67,62.0,necesita mejorar,reprobado,,
Gabriela Sofía Torres Mejía,0104-2009-03876,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,75,75,52,56,69,51,83,74,59,82,64,85.0,avanzado,aprobado,,
Oscar Daniel López Pérez,0105-2008-04789,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,11/30/2024,si,53,50,76,59,71,54,84,76,61,77,56,71.0,basico,aprobado,,
Camila Patricia Gutiérrez Flores,0106-2009-03542,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,6/5/2024,no,54,59,73,83,72,69,67,69,74,59,54,83.0,avanzado,aprobado,,
David Emmanuel Reyes Aguilar,0101-2008-04911,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,6/18/2024,no,63,85,82,60,52,66,58,64,85,77,73,90.0,avanzado,aprobado,,
Karla Nicole Cáceres Molina,0102-2009-05023,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,7/20/2024,no,81,80,77,52,80,58,64,79,63,64,57,68.0,necesita mejorar,reprobado,,
Fernando José Hernández Cruz,0103-2008-05134,2024,Informatica ,Matutina,Decimo,1-C,2/1/2024,8/15/2024,no,83,82,68,81,52,77,75,50,83,72,69,61.0,necesita mejorar,reprobado,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
